,treat_logFC_target,treat_logFC_NCS
499,PFKL,4.533260218776401
500,CALY,3.85054159359556
501,KDM3A,-2.90043042452968
502,ATP4A,-3.7023310709867
503,E2F1,2.8268876707791097
504,GLRA3,3.3177531434543903
505,GLRA1,-3.1638376806964397
506,HEXB,3.0555681048242005
507,CFB,-3.0730961957342404
508,CERK,-2.55474379244217
509,CYB5B,2.58472538999439
510,RBMX,2.4510658659524
511,RND3,-4.43304191817402
512,NCL,-2.5183674636927598
513,FUT1,-5.29111151093389
514,CYP11B2,3.99004597734492
515,CYP11B1,-2.6504104649334703
516,SLC1A1,-4.10913115875947
517,HLA-DMA,5.47598809102306
518,PCK2,-3.4758821515580998
519,LIF,-2.90148085761841
520,AVPR1A,3.0212847675922903
521,RLBP1,-3.14798197626885
522,IPMK,-4.47962892193558
523,ROS1,3.98098038383554
524,SLC25A10,-2.65162561119286
525,MT-ND1,3.047742476871
526,SIX4,-4.31785470827107
527,ARHGEF7,-2.52716464052211
528,DHRS2,3.12823295998811
529,SIX2,-3.6068847072879304
530,ADRA2C,3.3998593142398303
531,PROKR1,-3.16077530983655
532,CBFB,4.06976593017443
533,RNMT,4.237843626541641
534,ACAN,3.58929885570744
535,RELA,-2.4402715040090297
536,FGG,4.22889876633697
537,KNDC1,3.8029496428503102
538,FGB,-2.89499583339042
539,CCNL1,4.6892251404798
540,LIPE,3.5341459488001203
541,LIPH,2.44273739661016
542,CENPE,3.2879508451191004
543,DFFA,-2.95659088051452
544,DFFB,-3.56218221729684
545,PEX11A,-3.97098690161277
546,FAM69A,4.23151982708562
547,BAZ1B,2.92355341555225
548,GUK1,3.58190895370905
549,KLK6,-2.50278686113418
550,SNAI3,-2.3872380889773703
551,PDE8A,3.59875140144342
552,PDE8B,3.5032402716187296
553,PAFAH1B2,-4.982160865360281
554,MTNR1A,-4.235878104212951
555,RFX5,3.23595977646008
556,AVPR2,2.8890262424322497
557,MAMLD1,-3.5823513667858
558,ELK1,2.9056206762248498
559,RHO,-3.1635290192575596
560,HCRTR1,3.1959479366932304
561,ACTB,2.9917184011776
562,HCRTR2,3.5915701633652097
563,ERAP1,3.68296904341443
564,SLC1A5,-3.20207071233548
565,RETSAT,-3.2947304775699298
566,IL10RB,3.1099908345251
567,KCNK1,3.99336596986019
568,GGCT,4.23493662575822
569,EXOSC8,2.94526337868362
570,SMARCE1,2.97781193998271
571,SLC29A1,3.1081207721416604
572,ARFGAP1,-4.47716401457239
573,SMARCB1,3.58615249182632
574,CRADD,-2.64207087712348
575,OPN4,3.77909004984082
576,RUVBL2,3.77477364377135
577,MXD3,3.3445393797511698
578,FTSJ1,2.7331889537475496
579,ITPKA,-2.72272268745077
580,CEACAM6,-3.57588417028796
581,FIGF,3.1409014391150296
582,DHPS,3.6704433043107794
583,POP4,2.5275999260187403
584,MLLT10,-2.6176367137002594
585,SHB,-4.5401359597799
586,DROSHA,3.38491762705024
587,F12,-3.2522682733926898
588,BCAR1,3.5635677875440495
589,EPOR,-2.8490850649213497
590,EPAS1,3.16770663849569
591,IRF1,-2.8162272916048394
592,MTHFD2,-2.58952031570769
593,MTHFD1,2.4725610289432796
594,S1PR2,-4.0362854070392205
595,CLK3,2.9119928899533396
596,CLK4,-2.64446086774813
597,CREBBP,-3.4559778855979597
598,EFNB2,-5.77509506103343
599,EPHX2,-3.0139247796892
600,ISX,3.92620271182162
601,SUFU,3.56890576694376
602,EIF2B3,2.61140787997706
603,PRKAR2A,-2.75148275984743
604,FABP4,-4.3758167701790205
605,HMGN4,3.6006216836541496
606,PGAM1,-2.49346417748241
607,CBX4,-3.6366181396921897
608,GABRA1,2.8486972091656204
609,GPR78,3.89844632539058
610,QPRT,3.04044062397939
611,GREB1,3.19063460548491
612,ECD,-3.59179164827237
613,PSEN2,4.52558455478935
614,ERCC6L,4.359367097341839
615,DNAJB6,-2.9365523637507898
616,C1QBP,2.6232904096886602
617,FANCG,3.0950638863962503
618,FANCF,3.38855638532484
619,IFI16,-4.30963776201777
620,LRAT,-2.8865797080529303
621,MCM8,2.7109664341300803
622,ETFA,4.405780318830571
623,PHACTR1,-3.10994028037566
624,RPS6KL1,-2.71085581181172
625,NMUR2,-3.9343250536842698
626,STK39,3.4471803067190896
627,RAB1B,3.56596622104732
628,CELSR2,-2.75660516855528
629,ASGR2,3.6089431089668302
630,RAB23,2.7954193658506203
631,SATB2,-3.3734090330220896
632,ACADSB,-4.06670052909709
633,NAE1,-4.29387487739717
634,JOSD1,4.81921450484461
635,IGF2BP3,-2.4861823286019904
636,ARNT,3.4620866103979395
637,LRRC32,4.02665410437078
638,KNG1,3.08532922688432
639,IRS1,3.14662494145939
640,HOXA6,-2.65423436008893
641,HOXA5,2.50915672992683
642,HOXA1,4.704807376809519
643,LPAR2,3.6756952247675097
644,LPAR3,3.6647437351086496
645,LPAR6,-2.8409971686916102
646,CFD,-3.5468044528874
647,PHF16,-3.839101513168
648,PHF17,-3.4333701109248502
649,FOXQ1,2.82833643790592
650,CEP57,-2.7038033589002
651,ERCC2,2.95995074989487
652,NENF,-3.10393911025312
653,MGLL,3.60868841746888
654,CALU,-4.18724943022091
655,PRSS3,-5.21131014351807
656,PFDN2,3.1866192023904403
657,CLCNKA,2.7407174951057796
658,BBC3,-4.01294619827458
659,CLCNKB,2.5643444260101096
660,SMARCA4,-3.5923418205567
661,SOX4,-3.28783288386827
662,HDGFRP3,-4.39032526227438
663,RAVER1,2.48613668173481
664,ELAC2,-5.62835742177119
665,CEBPD,2.96977030741889
666,ALX1,3.27367146036313
667,DVL2,4.529076163718821
668,SCN2B,-3.8326131325136297
669,DVL1,-3.0658347825045698
670,DNAJC12,3.86205659928977
671,MTX2,-4.01454655766885
672,ABCB4,-2.8693325608989304
673,SCN1B,-3.72769876799502
674,ASF1A,2.45907047131741
675,SULT2A1,-2.76386404226709
676,KLRC1,3.1652696123613597
677,KCND3,3.8166730487865497
678,RAC3,-3.0862559061093395
679,RAC1,-4.12657767156734
680,RDH13,-3.14893067302217
681,PRKCD,2.7943722929030494
682,PRKCG,4.94516571428361
683,AP2A2,5.20916363451715
684,PBX4,-2.7115805918853395
685,SLC1A6,-4.3313295181518505
686,PHYH,2.88045656188867
687,LACC1,2.95352557772015
688,AIRE,-2.9674547896021606
689,FEZ2,3.80097403725175
690,SLC16A5,2.93246317995197
691,SLC16A4,2.67078990553313
692,ROCK2,2.45418049312299
693,MMP8,2.50401678109599
694,MMP2,-2.75269899339581
695,DYNLL1,2.75624581697838
696,CKB,3.6332317969730097
697,PCCB,-3.50301323440446
698,LRRC16A,-4.498901172858839
699,PEPD,-4.66944818856038
700,POLR3F,4.85588544855656
701,SOS1,-3.90416136852584
702,POLR3C,3.82124553330496
703,GGPS1,4.647338993918269
704,PAH,-2.79686090431464
705,ATP2C1,3.9387158354824
706,MNAT1,-2.64976543045897
707,GPR37,-2.7762536377206097
708,LTBR,2.5717915455000497
709,MAP3K8,2.77566672983779
710,CALM2,-2.63356208529571
711,DCK,4.135104471995629
712,CACNA1A,-3.03271195399122
713,GSDMB,4.79200801117459
714,CBFA2T3,4.051845040169431
715,CACNA1G,3.04593453433367
716,PHRF1,-4.01521148743688
717,NSFL1C,2.44296518557439
718,PET112,-2.41503428270713
719,CACNA1S,-2.5184751647849
720,SLC25A12,3.8330369315178903
721,PSMF1,3.2502309173550703
722,BRCA1,-3.8847080382833905
723,HLA-DPB1,-4.05624841421862
724,GNPDA1,4.9011874795315995
725,HMGCL,3.88041072616697
726,JAK1,3.4281221529650097
727,CLCN7,3.2104277235874505
728,SLC25A6,3.5206011701023705
729,NR2C2,-3.13283845200194
730,BRD8,-2.9310743729730695
731,HMGCR,2.99467337990131
732,FGFR4,-3.77906507692035
733,SOS2,-3.14874376798479
734,DNAJA3,3.9978461571515203
735,PLD1,2.3986837807634704
736,ADCY2,3.6750456888187797
737,PTPN12,-2.41682908302817
738,KIF5C,-2.64375058416995
739,KAT5,3.17329365219682
740,RAI14,-4.41514085640253
741,SPEN,3.3660995169049706
742,FOXA2,-2.4937121722398903
