"","Model","XKA"
"RBM28",0.238072466006802,-0.343267680401636
"MIPEP",0.307926397562512,-0.482832003018207
"QPRT",0.567879654978964,-0.535337812054637
"PDK4",0.558644866310884,-0.73763387198472
"CYP2J2",-0.0056312757262153,-0.442127732719938
"PLEKHA8",-0.439420786644533,0.445366277608665
"NANS",0.709057760709548,-0.761801391624516
"H3F3A",-0.248507363389302,0.509727411069741
"CDCA3",0.565514389603705,-0.835921189229011
"AGPAT2",0.628817994755906,-0.559159197883572
"KIAA1551",-0.490487845900014,0.542761293236494
"RAD50",0.300469876735811,-0.429381155372231
"GYLTL1B",0.90753830405269,-1.93695589070538
"ZNF652",0.480459900392465,-0.462244673813361
"SMARCA2",0.0707983265545894,0.329435061592122
"MAGED2",0.943941889619439,-0.621111888971902
"TRIB3",-0.224493974641811,-0.68657434202841
"SLC38A3",-0.317316778861023,0.532328501306446
"TARS",-0.00831230063022961,-0.537646909938867
"VGLL1",-0.306230809062729,0.636154767152667
"MSS51",-0.0658354613671122,1.53862089626897
"SLC30A10",1.07695365277631,-1.28757399708212
"NCL",-0.395021023459123,0.417230674863712
"PYROXD2",1.47417781377256,-0.58409256284238
"BSCL2",0.714057095398371,-0.36456883675513
"LPIN3",-0.489357081918553,-1.68056180775318
"CSNK1G3",-0.149290830593752,0.41881221551712
"TMEM156",1.96847387709662,-1.3298293334319
"USP2",0.468919216290879,1.15430060383633
"ATP1A1",0.00199911373196339,0.380999661764696
"ERI2",0.654726354391747,-0.320231011152423
"UTP11L",-0.551210848841792,0.390117187471925
"LGALS9B",0.505711858294957,-0.695167169617503
"ACOT9",1.24751418269981,-0.602289488375053
"RBAK",-0.077570089982711,0.331788684768099
"XDH",0.375143336468684,0.395202820168479
"PGK1",0.251556072259972,-0.294817006993537
"BACH1",-0.358715852478577,0.52552829288268
"USE1",-0.393024265449705,0.336766935121423
"YWHAZ",0.329280617938829,-0.304638548689453
"TOPBP1",0.357246484659583,-0.52798947343643
"IGFALS",-0.895817714135664,0.821452296325758
"KLF1",-0.489371055640424,0.757421349780716
"ZBTB14",0.292860023905527,0.36948898027478
"CHKA",0.279615003445242,-1.1675156043256
"TMTC1",-0.585114529148364,0.920897191337794
"ZWILCH",1.21291169031409,-1.74053168659905
"TPK1",0.606540003614529,-0.357767508975325
"GPD2",0.983011806250207,-0.502247756607764
"CLPB",0.921418412148138,-0.58243638174349
"CDCA8",0.546954582785281,-1.08512833742497
"NDUFA8",0.0593106123197123,-0.288229051093701
"SLC26A4",0.937628652027716,-0.855790762404852
"DUOXA1",-1.62202388879506,1.09975268015106
"CD36",2.05813526847745,-0.662964258206757
"C10orf10",-1.63636296420894,-0.908577834688175
